###################################################################################
#
# Mesen Game Database
#
# Automatically generated database based on Nestopia's DB and NesCartDB
#
# Generated on 2020-05-02 using:
#     -NewRisingSun's NES 2.0 header database (2020-04-26) https://forums.nesdev.com/viewtopic.php?f=3&t=19940&p=248796
#     -NesCartDB (dated 2017-08-21)
#     -Nestopia UE's latest DB (dated 2015-10-22)
#
# Fields: CRC; System; Board; PCB; Chip; Mapper; PrgRomSize; ChrRomSize; ChrRamSize; WorkRamSize; SaveRamSize; Battery; Mirroring; Controller Type; Bus Conflicts; SubMapper; VsSystemType; PpuModel
#
###################################################################################
27F01BF2;Ntsc;;;;1;512;0;8;0;0;0;h;1;;0;;
27F3A202;Famicom;;;;4;128;256;0;0;0;0;h;1;;0;;
27F71D87;Ntsc;;;;4;32;16;0;0;0;0;h;1;;0;;
27F8D0D2;Ntsc;NES-TLROM;NES-TLROM-03;MMC3B;4;128;128;0;0;0;0;h;1;;0;;
2802E40F;Dendy;;;;163;1024;0;8;0;8;1;v;1;;0;;
280689D6;Ntsc;;;;2;64;0;8;0;0;0;h;1;;2;;
280AD3C5;Pal;NES-SCROM;NES-SCROM-03;MMC1B2;1;64;128;0;0;0;0;h;1;;0;;
281326ED;Famicom;;;;142;128;0;8;0;0;0;v;1;;0;;
282745C5;Famicom;;;;141;256;0;8;0;0;0;h;1;;0;;
283AD224;Famicom;;;;32;256;128;0;0;0;0;h;1;;0;;
283D7727;Ntsc;;;;0;16;8;0;0;0;0;v;8;;0;;
28492586;Pal;NES-TEROM;NES-TEROM-04;MMC3B;4;32;32;0;0;0;0;h;1;;0;;
284BC8E5;Ntsc;;;;0;32;8;0;0;0;0;h;1;;0;;
284E65E8;Ntsc;;;;0;16;8;;0;0;0;v;;;;;
28520C23;Ntsc;;;;90;256;256;0;0;0;0;h;1;;0;;
2856111F;Ntsc;VIRGIN-SNROM;SN1-ROM AW REV. A;MMC1B2;1;256;0;8;0;8;1;h;1;;0;;
2858933B;Famicom;HVC-SNROM;HVC-SNROM-04;MMC1A;1;256;0;8;0;8;1;h;1;;0;;
286FCD20;Famicom;KONAMI-VRC-4;352889;VRC4;21;256;256;0;0;8;1;h;1;;2;;
28A377FC;Dendy;;;;58;128;64;0;0;0;0;h;42;;0;;
28B2F467;Ntsc;;;;0;32;8;0;0;0;0;v;1;;0;;
28B6A043;Ntsc;;;;0;32;8;0;0;0;0;v;1;;0;;
28C1D3D5;Famicom;HVC-UNROM;HVC-UNROM-05;;2;128;0;8;0;0;0;v;1;;2;;
28C2DFCE;Famicom;;;;1;128;128;0;0;0;0;h;1;;0;;
28C79009;Ntsc;;;;0;32;8;0;0;0;0;v;1;;0;;
28CD6C0F;Ntsc;;;;319;128;64;0;0;0;0;h;1;;0;;
28D580AE;Dendy;;;;227;1024;0;8;0;8;1;h;1;;0;;
28F9B41F;Ntsc;NES-TLROM;NES-TLROM-03;MMC3C;4;256;128;0;0;0;0;h;1;;0;;
28FB3277;Ntsc;;;;30;512;0;32;0;0;1;v;1;;0;;
28FB71AE;Ntsc;NES-SGROM;NES-SGROM-02;MMC1B2;1;256;0;8;0;0;0;h;1;;0;;
28FC0F77;Ntsc;;;;0;16;0;8;0;0;0;v;1;;0;;
29003686;Ntsc;;;;3;32;32;0;0;0;0;h;1;;2;;
290DF36D;Ntsc;;;;4;512;0;8;0;8;1;h;1;;0;;
2915FAF0;Ntsc;;;;3;32;32;0;0;0;0;h;1;;1;;
291BCD7D;Famicom;HVC-SGROM;HVC-SGROM-03;MMC1A;1;256;0;8;0;0;0;h;1;;0;;
292BCE21;Ntsc;;;;0;32;8;0;0;0;0;h;1;;0;;
292C63A5;Dendy;;;;268;256;256;0;0;8;1;h;1;;0;;
29356FB0;Ntsc;;;;83;128;256;0;0;0;0;h;1;;0;;
29412B89;Ntsc;;;;45;2048;0;128;0;0;0;h;42;;0;;
29582CA1;Famicom;;;;150;32;128;0;0;0;0;h;1;;0;;
29588DDB;Ntsc;;;;282;1024;1024;0;0;0;0;h;1;;0;;
2969A5C1;Ntsc;AVE-NINA-03;NINA-03 REV. A;;0;16;8;0;0;0;0;v;1;;0;;
297198B9;Famicom;HVC-TEROM;UNK-HVC-TEROM;MMC3A;4;32;32;0;0;0;0;h;1;;0;;
29A8CB96;Ntsc;;;;269;2048;0;0;0;0;0;h;1;;0;;
29B1FDFC;Ntsc;;;;4;128;128;0;0;0;0;h;1;;0;;
29B2F488;Playchoice;;;;2;128;0;8;0;0;0;v;1;;2;;
29DD37F4;Ntsc;SUNSOFT-5A;SAP-E301;Sunsoft-5A;69;128;256;0;8;0;0;h;1;;0;;
29DE87AF;Famicom;BANDAI-PT-554;BA-エアロビ;M50805;3;32;32;0;0;0;0;h;14;;2;;
29E173FF;Famicom;TAITO-NROM-256;P3-016B;;0;32;8;0;0;0;0;v;1;;0;;
29EB8331;Dendy;;;;4;256;0;8;0;8;1;h;1;;0;;
29EC0FD1;Famicom;;;;4;256;128;0;0;0;0;h;1;;0;;
29F81288;Ntsc;;;;4;128;128;0;0;0;0;h;1;;0;;
29FD2C68;Ntsc;;;;123;128;256;0;0;0;0;h;1;;0;;
2A01F9D1;Famicom;NAMCOT-3416;LROG048-00;109;206;128;64;0;0;0;0;v;1;;0;;
2A059EEB;Ntsc;;;;0;32;8;0;0;0;0;v;1;;0;;
2A0C9105;Ntsc;;;;3;32;32;0;0;0;0;v;1;;2;;
2A1919FE;Famicom;HVC-TKROM;HVC-TKROM-03;MMC3C;4;128;128;0;0;8;1;h;1;;0;;
2A1D5933;Ntsc;;;;176;2048;2048;8;0;0;0;h;1;;0;;
2A201CF4;Pal;;;;0;16;8;0;0;0;0;h;1;;0;;
2A30D066;Ntsc;;;;0;32;8;0;8;0;0;v;1;;0;;
2A3B1913;Dendy;;;;4;256;256;0;0;0;0;h;1;;0;;
2A3CA509;Famicom;;;;4;128;128;0;0;0;0;h;33;;0;;
2A46B57F;Ntsc;NES-UNROM;NES-UNROM-09;;2;128;0;8;0;0;0;h;1;;2;;
2A5312D6;Ntsc;;;;0;32;8;0;0;0;0;v;1;;0;;
2A561F41;Ntsc;;;;4;32;16;0;0;0;0;h;1;;0;;
2A5F4C5A;Famicom;;;;132;32;32;0;0;0;0;v;1;;0;;
2A6559A1;Famicom;TAITO-TC0190FMC;J9100161A;TC0190FMC;33;128;128;0;0;0;0;h;8;;0;;
2A662AC7;Ntsc;NES-AOROM;NES-AOROM-01;;7;128;0;8;0;0;0;h;1;;1;;
2A676E19;Ntsc;;;;295;1024;0;8;0;0;0;h;1;;0;;
2A72A051;Ntsc;;;;4;32;0;8;8;0;0;h;1;;0;;
2A7D3ADF;Famicom;NAMCOT-163;110F0;163;19;128;128;0;0;0;0;h;1;;2;;
2A86004F;Ntsc;;;;0;16;8;0;0;0;0;h;1;;0;;
2A8E5F99;Ntsc;;;;548;128;0;8;8;0;0;h;1;;0;;
2A971204;Famicom;;;;0;32;8;;0;0;0;v;;;;;
2AAF0049;Dendy;;;;268;1024;0;8;0;8;1;h;1;;0;;
2AAF0804;Ntsc;;;;11;128;128;0;0;0;0;v;1;;0;;
2AC4817F;Playchoice;;;;4;128;128;0;0;0;0;h;1;;0;;
2AC5233C;Famicom;KONAMI-UNROM;006;;2;128;0;8;0;0;0;v;1;;2;;
2AC87283;Ntsc;NES-NROM-256;NES-NROM-256-03;;0;32;8;0;0;0;0;h;1;;0;;
2AE535CA;Ntsc;;;;19;128;128;0;0;0;0;h;1;;2;;
2AE97660;Ntsc;NES-SLROM;NES-SLROM-06;MMC1B2;1;128;128;0;0;0;0;h;1;;0;;
2AED0656;Ntsc;;;;0;32;8;0;0;0;0;h;1;;0;;
2AF8332A;Dendy;;;;0;32;;8;0;0;0;v;;;;;
2B11E0B0;Famicom;;;;1;256;0;8;8;8;1;h;1;;0;;
2B1497DC;Pal;NES-TKROM;NES-TKROM-02;MMC3B;4;128;128;0;0;8;1;h;1;;0;;
2B160BF0;Famicom;HVC-TLROM;HVC-TLROM-04;MMC3C;4;128;128;0;0;0;0;h;1;;0;;
2B20B022;Pal;NES-TLROM;NES-TLROM-03;MMC3B;4;128;256;0;0;0;0;h;1;;0;;
2B20ED9B;Ntsc;;;;3;32;32;0;0;0;0;h;1;;2;;
2B378D11;Ntsc;NES-AOROM;NES-AOROM-03;;7;256;0;8;0;0;0;h;1;;1;;
2B462010;Famicom;HVC-RROM;HVC-RROM-05S;;0;16;8;0;0;0;0;h;1;;0;;
2B4D80AE;Famicom;HVC-TLROM;HVC-TLROM-04;MMC3B;4;128;128;0;0;0;0;h;1;;0;;
2B511B51;Ntsc;BADROM;;;65000;0;;;0;0;0;;;;;;
2B5951AC;Ntsc;;;;30;512;0;32;0;0;1;v;1;;0;;
2B6E1DA8;Ntsc;;;;1;128;128;0;0;0;0;h;1;;0;;
2B750BF9;Ntsc;;;;87;32;32;0;0;0;0;v;1;;0;;
2B77C870;Ntsc;;;;115;128;256;0;0;0;0;h;1;;0;;
2B85420E;VsSystem;;;;1;64;32;0;2;0;0;4;5;;0;0;4
2B882971;Ntsc;;;;176;512;512;0;0;0;0;h;1;;0;;
2B9BC5C6;Ntsc;;;;4;128;128;0;0;0;0;h;1;;0;;
2BA86F76;Ntsc;;;;3;32;32;0;0;0;0;v;1;;2;;
2BB08BCA;Ntsc;;;;4;256;256;0;0;0;0;h;1;;0;;
2BB3DABE;Famicom;TAITO-X1-017;J9100230A;X1-017;82;128;256;0;0;8;1;h;1;;0;;
2BB6A0F8;Famicom;HVC-UNROM;HVC-UNROM-02;;2;128;0;8;0;0;0;v;1;;2;;
2BBA037A;Famicom;;;;59;128;64;0;0;0;0;h;1;;0;;
2BC25D5A;Ntsc;NES-SLROM;NES-SLROM-06;MMC1B2;1;128;128;0;0;0;0;h;1;;0;;
2BC67AA8;Ntsc;NES-TGROM;NES-TGROM-01;MMC3C;4;512;0;8;0;0;0;h;1;;0;;
2BCF2132;Famicom;HVC-TLROM;HVC-TLROM-03;MMC3B;4;128;128;0;0;0;0;h;1;;0;;
2BD30289;Ntsc;;;;4;64;128;0;0;8;1;h;2;;0;;
2BD49E68;Ntsc;;;;115;128;128;0;0;0;0;h;1;;0;;
2BE254E9;Famicom;NAMCOT-3312;3312;;0;32;8;0;0;0;0;v;1;;0;;
2BF07493;Ntsc;;;;1;128;128;0;0;0;0;h;1;;0;;
2BF0F9C5;Pal;NES-NROM-128;NES-NROM-128-04;;0;16;8;0;0;0;0;h;1;;0;;
2BF21F5F;VsSystem;;;;99;64;16;0;0;2;1;4;4;;0;5;3
2BF61C53;Ntsc;NES-TLROM;NES-TLROM-03;MMC3C;4;128;256;0;0;0;0;h;1;;0;;
2BFB1186;Famicom;HVC-SKROM;HVC-SKROM-01;MMC1A;1;128;128;0;0;8;1;h;1;;0;;
2BFD7ACC;Ntsc;;;;178;512;0;8;0;0;0;h;1;;1;;
2C01DE06;Dendy;;;;163;2048;0;8;0;8;1;v;1;;0;;
2C043781;Famicom;HVC-CNROM;CN-04B;;3;32;32;0;0;0;0;h;1;;2;;
2C06DB7D;Ntsc;;;;0;32;8;0;0;0;0;v;1;;0;;
2C088DC5;Pal;NES-TKROM;NES-TKROM-10;MMC3C;4;512;256;0;0;8;1;h;1;;0;;
2C1406E7;Ntsc;;;;387;512;1024;0;0;0;0;h;1;;0;;
2C163614;Famicom;;;;0;32;8;;0;0;0;v;;;;;
2C19B3C1;Ntsc;;;;1;32;0;8;8;0;0;h;1;;0;;
2C1CC6DA;VsSystem;;;;99;64;16;0;0;2;1;4;4;;0;5;4
2C25A6E0;Playchoice;;;;0;16;8;0;0;0;0;v;32;;0;;
2C2DDFB4;Ntsc;NES-SGROM;NES-SGROM-04;MMC1B2;1;256;0;8;0;0;0;h;1;;0;;
2C33161D;Famicom;HVC-SNROM;HVC-SNROM-09;MMC1B2;1;256;0;8;0;8;1;h;1;;0;;
2C3AD058;Dendy;;;;4;128;0;8;0;8;1;h;1;;0;;
2C3D4EF0;Dendy;;;;176;1024;0;8;0;32;1;h;1;;0;;
2C4421B2;Famicom;BANDAI-FCG-2;BA-アクマ;FCG-2;16;128;128;0;0;0;0;h;1;;4;;
2C4C9356;Ntsc;;;;116;128;128;0;0;0;0;h;1;;2;;
2C5908A7;Ntsc;NES-TLROM;NES-TLROM-03;MMC3C;4;256;256;0;0;0;0;h;1;;0;;
2C5FAC1C;Ntsc;;;;1;128;128;0;8;0;0;h;1;;0;;
2C624B5F;Ntsc;;;;64;128;64;0;0;0;0;h;1;;0;;
2C6C14CA;Ntsc;;;;313;512;512;0;8;0;0;h;1;;0;;
2C7440EF;Ntsc;;;;71;256;0;8;0;0;0;v;1;;0;;
2C7D68F3;Famicom;NAMCOT-NROM-128;LROG068-00;;0;16;8;0;0;0;0;h;1;;0;;
2C818014;Ntsc;NES-PNROM;NES-PNROM-03;MMC2-L;9;128;128;0;0;0;0;h;1;;0;;
2CA86503;Ntsc;;;;2;16;0;8;0;0;0;v;1;;2;;
2CA9BF7F;Dendy;;;;199;512;0;8;4;8;1;h;1;;0;;
2CAAE01C;Ntsc;NES-TSROM;NES-TSROM-08;MMC3C;4;128;128;0;8;0;0;h;1;;0;;
2CAD075E;Ntsc;;;;0;16;8;0;0;0;0;h;1;;0;;
2CC408D8;Ntsc;;;;4;256;256;0;0;0;0;h;1;;0;;
2CECD630;Ntsc;;;;36;64;64;0;0;0;0;v;1;;0;;
2CF5DB05;Dendy;;;;176;128;64;0;0;0;0;h;38;;0;;
2D020965;Pal;NES-SNROM;NES-SNROM-05;MMC1B3;1;256;0;8;0;8;1;h;1;;0;;
2D0877F3;Dendy;;;;195;512;256;8;0;0;0;h;1;;0;;
2D1C667A;Ntsc;;;;176;512;512;0;0;0;0;h;1;;0;;
2D1FEE70;Ntsc;;;;4;128;128;0;0;8;1;h;1;;0;;
2D273AA4;Ntsc;NES-UNROM;NES-UN-ROM-04;;2;128;0;8;0;0;0;h;1;;2;;
2D2A7B46;Ntsc;;;;0;32;0;8;0;0;0;h;1;;0;;
2D2F91B8;Famicom;HVC-SLROM;HVC-SLROM-03;MMC1B3;1;128;128;0;0;0;0;h;1;;0;;
2D417253;Playchoice;;;;7;256;0;8;0;0;0;h;1;;2;;
2D41EF92;Ntsc;NES-UNROM;NES-UNROM-08;;2;128;0;8;0;0;0;v;1;;2;;
2D664D99;Famicom;HVC-TGROM;HVC-TGROM-01;MMC3C;4;512;0;8;0;0;0;h;1;;0;;
2D69B08A;Ntsc;;;;4;128;256;0;0;0;0;h;1;;0;;
2D75C7A9;Ntsc;NES-SLROM;NES-SLROM-03;MMC1A;1;128;128;0;0;0;0;h;1;;0;;
2D782595;Famicom;;;;0;16;8;;0;0;0;v;;;;;
2D815920;Ntsc;;;;0;32;8;0;0;0;0;h;1;;0;;
2D83C43C;Ntsc;;;;0;16;8;0;0;0;0;h;21;;0;;
2D855C33;Ntsc;;;;0;32;8;0;0;0;0;v;1;;0;;
2D8730E2;Ntsc;;;;141;32;32;0;0;0;0;h;1;;0;;
2DA00F7D;Ntsc;;;;319;128;64;0;0;0;0;h;1;;0;;
2DA3A49C;Dendy;;;;163;2048;0;8;0;8;1;v;1;;0;;
2DB7C31E;Famicom;;;;1;128;128;0;0;0;0;h;1;;0;;
2DBB054D;Ntsc;;;;0;16;8;0;0;0;0;h;1;;0;;
2DC05A6F;Famicom;HVC-NROM-256;3I;;0;32;8;0;0;0;0;v;1;;0;;
2DC331A2;Famicom;HVC-TLROM;HVC-TLROM-04;MMC3B;4;128;128;0;0;0;0;h;1;;0;;
2DD71ACB;Ntsc;;;;1;512;0;8;0;8;1;h;1;;0;;
2DDC2DC3;Ntsc;NES-SLROM;NES-SLROM-06;MMC1B2;1;128;128;0;0;0;0;h;1;;0;;
2DEB12B8;Ntsc;;;;3;32;32;0;0;0;0;v;1;;1;;
2DF81316;Famicom;HVC-TLROM;TL-01A;MMC3B;4;128;128;;0;0;0;;;;;;
2DFF7FDC;Ntsc;NES-SLROM;NES-SLROM-06;MMC1B2;1;128;128;0;0;0;0;h;1;;0;;
2E0534BA;Ntsc;;;;45;512;512;0;0;0;0;h;1;;0;;
2E0741B6;Ntsc;NES-TLROM;NES-TLROM-03;MMC3C;4;128;128;0;0;0;0;h;1;;0;;
2E0F51AF;Ntsc;;;;0;16;8;0;0;0;0;h;1;;0;;
2E1E7FD8;Famicom;;;;4;128;128;0;0;0;0;h;1;;0;;
2E22071C;Ntsc;;;;3;32;16;0;0;0;0;v;1;;2;;
2E27E0AF;Dendy;;;;227;1024;0;8;0;8;1;h;1;;0;;
2E2ACAE9;Famicom;HVC-SNROM;HVC-SNROM-08;MMC1B2;1;256;0;8;8;0;0;h;1;;0;;
2E326A1D;Ntsc;TENGEN-800002;800002-01 REV C;337001;206;64;32;0;0;0;0;v;1;;0;;
2E4CCF46;Ntsc;;;;0;16;8;0;0;0;0;h;1;;0;;
2E563C66;Famicom;NAMCOT-3415;3415;109;206;128;32;0;0;0;0;v;1;;0;;
2E5768C9;Ntsc;;;;0;16;8;0;0;0;0;h;1;;0;;
2E5801B8;Dendy;;;;241;512;0;8;0;8;1;v;1;;0;;
2E6301ED;Ntsc;NES-TSROM;NES-TSROM-07;MMC3B;4;256;128;0;8;0;0;h;1;;0;;
2E68ACFC;Famicom;HVC-CNROM;HVC-CNROM-256K-01;;3;32;32;0;0;0;0;h;1;;2;;
2E6B1432;Famicom;;;;0;32;8;;0;0;0;v;;;;;
2E6EE98D;Ntsc;NES-SLROM;NES-SLROM-06;MMC1B2;1;128;128;0;0;0;0;h;2;;0;;
2E6F1A75;Ntsc;;;;0;32;8;0;0;0;0;v;1;;0;;
2E84F3BE;Dendy;;;;227;1024;0;8;0;8;1;h;1;;0;;
2E8B0E0E;Ntsc;;;;0;32;8;0;0;0;0;v;1;;0;;
2EA8CC16;Ntsc;NES-UNROM;NES-UNROM-10;;2;128;0;8;0;0;0;h;1;;2;;
2EA914FA;Ntsc;;;;25;128;128;0;0;0;0;h;1;;2;;
2EAFD5A9;Ntsc;;;;71;256;0;8;0;0;0;v;1;;0;;
2EBB1C40;Ntsc;;;;0;32;8;0;0;0;0;v;1;;0;;
2EBD5FD6;Ntsc;BMC-FK23C;;;176;1024;1024;0;0;0;0;h;1;;1;;
2EBF2E0D;Famicom;;;;1;128;128;;0;0;0;;;;;;
2EC1BED7;Ntsc;;;;4;32;16;0;0;0;0;h;1;;0;;
2EC1E92E;Ntsc;;;;3;32;32;0;0;0;0;v;1;;2;;
2EC5F4C2;Ntsc;;;;549;128;0;8;0;0;0;v;1;;0;;
2F06FDD7;Ntsc;;;;0;32;8;0;0;0;0;v;1;;0;;
2F128512;Famicom;BANDAI-74*161/32;BA-ジョギング;;70;32;128;0;0;0;0;v;13;;0;;
2F1686E5;Ntsc;;;;141;128;64;0;0;0;0;h;1;;0;;
2F1AB350;Ntsc;;;;387;512;1024;0;0;0;0;h;1;;0;;
2F1AD1FC;Ntsc;;;;260;512;512;0;0;0;0;h;1;;0;;
2F24B4EE;Ntsc;;;;4;128;128;0;0;0;0;h;1;;0;;
2F2D1FA9;Ntsc;NES-UNROM;NES-UNROM-09;;2;128;0;8;0;0;0;v;1;;2;;
2F2E30F7;Famicom;HVC-TLROM;HVC-TLROM-04;MMC3B;4;128;128;0;0;0;0;h;1;;0;;
2F462388;Famicom;;;;2;128;;8;0;0;0;h;;;;;
2F504958;Ntsc;;;;0;32;8;0;0;0;0;h;1;;0;;
2F52BBE0;Famicom;;;;148;32;64;0;0;0;0;h;1;;0;;
2F55BE88;Famicom;HVC-NROM-128;HVC-NROM-03;;0;16;8;0;0;0;0;v;1;;0;;
2F66E302;Ntsc;NES-UNROM;NES-UN-ROM-07;;2;128;0;8;0;0;0;v;1;;2;;
2F698C4D;Ntsc;NES-CNROM;NES-CNROM-07;;3;32;32;0;0;0;0;v;2;;2;;
2F865331;Ntsc;;;;108;64;32;0;0;0;0;h;1;;2;;
2F8EC233;Famicom;;;;236;128;64;8;0;0;0;;;;;;
2F95D72B;Ntsc;;;;4;16;8;0;0;0;0;h;1;;0;;
2FA8CBB4;Ntsc;UNL-PUZZLE;;;173;32;32;0;0;0;0;h;1;;0;;
2FBEA66D;Ntsc;;;;36;32;32;0;0;0;0;h;1;;0;;
2FC1ABAE;Famicom;;;;1;128;128;0;0;0;0;h;1;;0;;
2FD2E632;Pal;;;;1;256;0;8;0;0;0;h;1;;0;;
2FE20D79;Ntsc;NES-TLROM;NES-TLROM-03;MMC3C;4;128;256;0;0;0;0;h;1;;0;;
2FEF7101;Ntsc;;;;45;512;512;0;0;0;0;h;1;;0;;
2FFDE228;Famicom;HVC-UNROM;HVC-UNROM-10;;2;128;0;8;0;0;0;v;1;;2;;
2FFF950F;Ntsc;;;;331;512;512;0;0;0;0;h;1;;0;;
30008503;Ntsc;;;;0;32;8;0;0;0;0;v;1;;0;;
301D4AB8;Ntsc;;;;150;32;16;0;0;0;0;h;1;;0;;
30229527;FamicloneDecimal;;;;0;16;8;0;0;0;0;h;1;;0;;
3039534A;Ntsc;;;;45;512;512;0;0;0;0;h;1;;0;;
303D4371;Ntsc;NES-UNROM;NES-UNROM-08;;2;128;0;8;0;0;0;v;1;;2;;
303D483D;Ntsc;;;;3;32;32;0;0;0;0;v;1;;2;;
303F6799;Ntsc;;;;90;512;256;0;0;0;0;h;1;;0;;
304FA926;Pal;NES-NROM-128;NES-NROM-128-03;;0;16;8;0;0;0;0;h;1;;0;;
3057B904;Famicom;HVC-SKROM;HVC-SKROM-03;MMC1A;1;128;128;0;0;8;1;h;1;;0;;
30586A4D;VsSystem;;;;99;64;32;0;0;2;1;4;5;;0;5;5
305B4E62;Ntsc;KONAMI-TLROM;352026;MMC3B;4;128;128;0;0;0;0;h;1;;0;;
308DA987;Pal;NES-AOROM;NES-AOROM-03;;7;256;0;8;0;0;0;h;2;;2;;
3095A71C;Ntsc;;;;5;256;128;0;0;0;0;h;1;;0;;
30A0ED43;Ntsc;;;;355;32;0;8;0;0;0;v;1;;0;;
30A225A8;Ntsc;;;;4;128;128;0;0;8;1;h;1;;0;;
30B827C1;Ntsc;;;;1;256;0;8;0;8;1;h;1;;0;;
30BBB255;Ntsc;;;;173;32;16;0;0;0;0;h;1;;0;;
30BF2DBA;Famicom;JALECO-JF-13;JF-13;D7756C;86;128;64;0;0;0;0;v;1;;0;;
30C20B8A;Dendy;;;;178;512;0;8;0;8;1;h;1;;0;;
30C5E6CF;Pal;NES-UNROM;NES-UNROM-10;;2;128;0;8;0;0;0;v;1;;2;;
30C7F729;Ntsc;;;;0;32;8;0;0;0;0;h;1;;0;;
30CDE8EB;Ntsc;;;;0;32;8;0;0;0;0;v;1;;0;;
30DF1514;Ntsc;;;;212;128;64;0;0;0;0;h;1;;0;;
30F7ED38;Ntsc;;;;0;16;0;8;0;0;0;v;1;;0;;
30F9BB46;Famicom;;;;242;512;;8;0;8;1;h;;;;;
30FFF6EB;Ntsc;;;;30;512;0;32;0;0;1;v;1;;0;;
31170E5D;Dendy;;;;227;1024;0;8;0;8;1;h;1;;0;;
3125DB22;Playchoice;;;;1;256;0;8;8;0;0;h;1;;0;;
313491ED;Famicom;;;;50;128;0;8;0;0;0;v;1;;0;;
31708C32;Ntsc;;;;24;256;8;0;0;0;0;h;1;;0;;
318E5502;Ntsc;;;;121;256;256;0;0;0;0;h;1;;0;;
31957AE4;Famicom;HVC-SEROM;SE-01A;MMC1B2;1;32;32;0;0;0;0;h;1;;5;;
3195AC56;Ntsc;;;;230;640;0;8;0;0;0;h;42;;0;;
31AC927A;Ntsc;;;;79;16;16;0;0;0;0;v;1;;0;;
31B44C65;Famicom;HVC-TLROM;HVC-TLROM-04;MMC3B;4;256;128;0;0;0;0;h;1;;0;;
31C1BF98;Dendy;;;;163;2048;0;8;0;8;1;v;1;;0;;
31C7AD13;Famicom;HVC-TKROM;HVC-TKROM-03;MMC3C;4;128;128;0;0;8;1;h;1;;0;;
31D755B3;Ntsc;;;;0;16;8;0;0;0;0;h;1;;0;;
31E8B65C;Dendy;;;;4;256;256;0;0;0;0;h;1;;0;;
32086826;Ntsc;NES-CNROM;NES-CN-ROM-256-05;;3;32;32;0;0;0;0;h;1;;2;;
322C9F6A;Ntsc;NTDEC-N715062;N715062;;3;32;32;0;0;0;0;h;1;;2;;
322F723A;Famicom;;;;0;32;8;;0;0;0;v;;;;;
3256114C;Famicom;HVC-TGROM;HVC-TGROM-01;MMC3B;4;512;0;8;0;0;0;h;1;;0;;
325C3E52;Ntsc;;;;4;256;128;0;0;8;1;h;1;;0;;
326AB3B6;Ntsc;NES-TLROM;NES-TLROM-01;MMC3A;4;128;128;0;0;0;0;h;1;;0;;
3271F470;Ntsc;;;;0;32;0;8;8;0;0;h;1;;0;;
3275FD7E;Famicom;HVC-CNROM;N04;;3;32;32;0;0;0;0;v;1;;2;;
327DDDEC;Ntsc;;;;0;16;8;0;0;0;0;v;8;;0;;
3293AFEA;Famicom;;;;140;128;32;0;0;0;0;v;1;;0;;
329A13C2;Ntsc;;;;359;1024;0;8;0;0;0;h;1;;0;;
329C0349;Ntsc;;;;0;32;8;0;0;0;0;h;1;;0;;
32AC7B6B;Ntsc;;;;218;16;0;0;0;0;0;1;1;;0;;
32CD7DE2;Ntsc;BADROM;;;65000;0;;;0;0;0;;;;;;
32CF4307;Ntsc;NES-SKROM;NES-SKROM-04;MMC1B2;1;128;128;0;8;0;0;h;1;;0;;
32D11749;Ntsc;;;;3;32;32;0;0;0;0;h;1;;2;;
32DAA9BB;Ntsc;;;;0;32;8;0;0;0;0;v;1;;0;;
32DD969E;Ntsc;;;;45;1024;512;0;0;0;0;h;42;;0;;
32E02CB8;Ntsc;;;;0;32;0;8;0;0;0;v;1;;0;;
32E92DD4;Ntsc;;;;4;128;128;0;0;8;1;h;1;;0;;
32F1176B;Ntsc;;;;268;32768;0;256;8;0;0;h;42;;0;;
32F7CC4E;Playchoice;;;;0;16;8;0;0;0;0;v;8;;0;;
32FA246F;Famicom;NAMCOT-3311;3311;;0;32;8;0;0;0;0;h;1;;0;;
32FB0583;Ntsc;NES-CNROM;NES-CN-ROM-256-02;;3;32;16;0;0;0;0;h;15;;2;;
33007B67;Dendy;;;;177;1024;0;8;0;8;1;h;1;;0;;
3306AAB2;Famicom;;;;1;128;128;;8;0;0;;;;;;
330DE468;Famicom;BANDAI-NROM-256;UNK-BANDAI-OBQ;;0;32;8;0;0;0;0;v;1;;0;;
331BCC87;Ntsc;;;;0;16;8;0;0;0;0;h;1;;0;;
3322105A;Ntsc;NES-SHROM;NES-SHROM-01;MMC1;1;32;128;0;0;0;0;h;1;;5;;
332C47E0;Famicom;HVC-TKROM;HVC-TKROM-03;MMC3C;4;256;128;0;0;8;1;h;1;;0;;
333C48A0;Ntsc;NES-TLROM;NES-TLROM-03;MMC3B;4;128;128;0;0;0;0;h;1;;0;;
333EC0F0;Ntsc;;;;268;2048;0;128;0;0;0;h;1;;0;;
33443508;Dendy;;;;176;256;256;0;0;32;1;h;1;;0;;
3348E3BD;Famicom;;;;1;256;;8;8;0;0;;;;;;
33536E85;Ntsc;;;;0;16;8;0;0;0;0;v;1;;0;;
336093EF;Famicom;HVC-GNROM;GN-01C;;66;128;32;0;0;0;0;v;1;;0;;
3368F7FB;Ntsc;NES-AOROM;NES-AOROM-03;;7;128;0;8;0;0;0;h;1;;1;;
33839BC0;Ntsc;;;;0;16;8;0;0;0;0;v;1;;0;;
33878F0B;Ntsc;;;;0;32;8;0;0;0;0;v;1;;0;;
338B6133;Ntsc;;;;2;64;0;8;0;0;0;h;1;;2;;
33923995;VT02;;;;256;4096;0;0;0;0;0;h;42;;0;;
339437F6;Ntsc;NES-SEROM;NES-SEROM-02;MMC1B1;1;32;32;0;0;0;0;h;1;;5;;
